cd_api_field,cd_ui_label,required,field_type,source,default_value,our_field,extraction_accuracy,business_rule,your_input_needed,Answer
trailerType,Trailer Type (required),YES,"dropdown: OPEN, ENCLOSED, DRIVEAWAY",DEFAULT + MANUAL,OPEN,n/a,n/a,Default OPEN. Operator can change before export.,Do you ever use ENCLOSED? Or always OPEN?,"We almost always order an OPEN trailer, but sometimes there are orders for transporting expensive vehicles, and then we order a ENSLOSED  trailer."
hasInOpVehicle,Inoperable?,YES,boolean toggle,EXTRACTED,FALSE,vehicle_is_inoperable,100%,Extracted from document. Operator can change.,Is extraction always correct?,"By default, we always indicate OPERABLE, but in some documents there is an inscription INOP - then in the limousine we indicate that the car is INOPERABLE. Also, in documents from Copart and from IAAI, there are usually two documents in the email, and the second document contains an indicator of the car's condition, and in those cases when it says ""RUN and DRIVE"" (sometimes this is indicated in the name of the second file attached to the email)"
availableDate,Date Available to Ship (required),YES,date picker,AUTO + EXTRACTED,TODAY,available_date,n/a,Default = listing creation date. Manheim exception: use release date if present. Operator can override.,Do IAA/Copart ever have delayed release dates too?,"The date from which the car is released is usually indicated only in Mannheim documents and is written like this, for example:
""Vehicle Not Available for Release.
Vehicle is releasable on Feb 03, 2026 at 12:00 CST."" A rule should be established that if the ONSITE VEHICLE RELEASE in the Mannheim document doesn't include this statement (the date in my example is provided as an example, not as a rule for you to use), then the car is available for release from the moment the transport order is received. However, there are cases where the Mannheim document doesn't include an ONSITE VEHICLE RELEASE, and in those cases, a note should be made stating ""NO ONSITE VEHICLE RELEASE""—a call to action to contact the seller and request an ONSITE VEHICLE RELEASE."
expirationDate,Expiration Date (required),YES,date picker,AUTO,availableDate + 30 days,n/a,n/a,Auto-calculated. CD defaults to 30 days.,Change from 30 days? Or keep as is?,AUTO
desiredDeliveryDate,Desired Delivery Date,NO,date picker,MANUAL,empty,n/a,n/a,Optional. Operator can set if client needs urgency.,Do you use this field? If not we hide it from UI.,EMPTY by DEFAULT
shipperOrderId,n/a,NO,string max 50,AUTO,empty,order_id,95%,Copart/IAA order ID. Internal reference only.,Do you need this in CD? Or internal tracking only?,AUTO
externalId,Your Load ID,NO,string max 50,AUTO-GENERATED,algorithm,n/a,n/a,Algorithm: MMDD + first 3 Make + first 2 Model + seq. Example: 0212TOYPR1.,Confirm format: 0212TOYPR1 correct? With slash 02/12 or without? Number starts at 1 or no number if first?,"In our practice, this is a mandatory field. We've developed an algorithm that's convenient for tracking and understanding the type of vehicle. The vehicle ID consists of the following parts:
1) Today's date MM/DD - but we don't include the ""/"" sign
2) Vehicle make - we take the first three letters
3) Vehicle model - we take the first two letters
4) To ensure that identical vehicles aren't repeated today and we can distinguish them, the last character is a number for load numbering: 1, 2, 3, or 4 - only if there was already an order for an identical vehicle within the same day. In such cases, we differentiate them by numbering. Let's say we received a request today, February 16, 2026, and we identified this vehicle: 2019 Mitsubishi OUTLA.
This means the load ID will be 216MITOU. If we receive another order for the same vehicle, but perhaps a different year, then the next load with this vehicle will have the ID 216MITOU2."
partnerReferenceId,n/a,NO,string max 50,AUTO,reference_id,reference_id,90%,Map reference_id from document. Or leave empty.,Do you need this? Where does it appear in CD?,EMPTY by DEFAULT
requiresInspection,Request carrier use CD App,NO,boolean checkbox,DEFAULT,TRUE,n/a,n/a,Default CHECKED (true). Operator can uncheck.,Always true? Or depends on transport type?,Default CHECKED (true). Operator can uncheck.
price.total,Amount to Pay Carrier (required),YES,number,PRICING ENGINE + MANUAL,from PricingEngine,final_price,n/a,PricingEngine gives suggested_price. Operator confirms or enters final_price. This is CARRIER PAY not vehicle purchase price.,Do you use CD Price Check Plus? Or only our PricingEngine?,"Use CD Price Check Plus and then apply PricingEngine and show two options - if some error occurs, then signal about it but do not block the listing."
